mlbam_id,name,link,active,season
5220,Minneapolis Auditorium,/api/v1/venues/5220,False,1958
7216,Ohio State League Park,/api/v1/venues/7216,False,2025
3271,Yarkon Sports Complex,/api/v1/venues/3271,False,2007
7024,City Stadium,/api/v1/venues/7024,False,2025
6801,Hopewell Park,/api/v1/venues/6801,False,2025
5229,Wharton Fieldhouse,/api/v1/venues/5229,False,1950
6398,Leeds AL (Unknown),/api/v1/venues/6398,False,2025
6851,Wildwood NJ (Unknown),/api/v1/venues/6851,False,2025
5216,Hofheinz Pavilion,/api/v1/venues/5216,False,1974
5232,Alexander Coliseum,/api/v1/venues/5232,False,1971
6941,Offutt Field,/api/v1/venues/6941,False,2025
6940,Northwestern Park,/api/v1/venues/6940,False,2025
4724,Bob Hoffman Stadium,/api/v1/venues/4724,False,1969
6756,Matthewson Park,/api/v1/venues/6756,False,2025
6938,Osawatomie KS (Unknown),/api/v1/venues/6938,False,2025
5235,Island Garden,/api/v1/venues/5235,False,1971
5234,Long Island Arena,/api/v1/venues/5234,False,1968
5226,State Fair Coliseum,/api/v1/venues/5226,False,1950
4734,Jennings Stadium,/api/v1/venues/4734,False,1963
5237,Izod Center,/api/v1/venues/5237,False,2009
4730,Dobyns-Bennett High School,/api/v1/venues/4730,False,1994
7009,Athletic Park,/api/v1/venues/7009,False,2025
5197,Dallas Memorial Auditorium,/api/v1/venues/5197,False,1972
4760,All-Sports Stadium,/api/v1/venues/4760,False,1997
4740,Marion High School,/api/v1/venues/4740,False,1976
4761,Alumni Field,/api/v1/venues/4761,False,2000
4745,Paul G. Fyffe Field,/api/v1/venues/4745,False,1984
5192,Edgerton Park Arena,/api/v1/venues/5192,False,1954
6752,Moody Stadium,/api/v1/venues/6752,False,2025
5194,Cincinnati Gardens,/api/v1/venues/5194,False,1971
4748,Scranton Stadium,/api/v1/venues/4748,False,1953
4741,Max Hess Stadium,/api/v1/venues/4741,False,1960
3016,Hans L'Orange Field,/api/v1/venues/3016,False,2008
6562,Trainer Field,/api/v1/venues/6562,False,2025
6895,Shetzline Park,/api/v1/venues/6895,False,2025
4743,McNearney Stadium,/api/v1/venues/4743,False,1957
6293,Ryle Park,/api/v1/venues/6293,False,2025
5208,War Memorial Coliseum,/api/v1/venues/5208,False,1956
6896,Shelbyville IN (Unknown),/api/v1/venues/6896,False,2025
454,Default AST (G),/api/v1/venues/454,False,2006
2782,Nymeo Field,/api/v1/venues/2782,True,2025
3970,Huntington Park,/api/v1/venues/3970,True,2025
426,Default Central (G),/api/v1/venues/426,False,2012
441,Default Central European (G),/api/v1/venues/441,False,2009
456,Default CST (G),/api/v1/venues/456,False,2011
5039,KeyBank Center,/api/v1/venues/5039,False,2018
5045,Heinz Field,/api/v1/venues/5045,False,2017
6776,Legion Stadium,/api/v1/venues/6776,False,2025
5285,Jim Perry Stadium,/api/v1/venues/5285,False,2025
